symbol,name,last_price,latest_date
002090.SZ,金智科技,8.75,2026-06-29
002091.SZ,江苏国泰,7.1,2026-06-29
002092.SZ,中泰化学,3.85,2026-06-29
002093.SZ,国脉科技,6.22,2026-06-29
002094.SZ,青岛金王,4.36,2026-06-29
002095.SZ,生 意 宝,12.92,2026-06-29
002096.SZ,易普力,8.96,2026-06-29
002097.SZ,山河智能,7.17,2026-06-29
002098.SZ,浔兴股份,6.47,2026-06-29
002099.SZ,海翔药业,5.32,2026-06-29
002100.SZ,天康生物,6.23,2026-06-29
002101.SZ,广东鸿图,9.5,2026-06-29
002103.SZ,广博股份,5.87,2026-06-29
002104.SZ,恒宝股份,10.13,2026-06-29
002105.SZ,信隆健康,5.04,2026-06-29
002106.SZ,莱宝高科,15.93,2026-06-29
002107.SZ,沃华医药,5.82,2026-06-29
002108.SZ,沧州明珠,4.14,2026-06-29
002110.SZ,三钢闽光,2.9,2026-06-29
002111.SZ,威海广泰,8.81,2026-06-29
002112.SZ,三变科技,16.22,2026-06-29
002114.SZ,罗平锌电,7.36,2026-06-29
002115.SZ,三维通信,10.0,2026-06-29
002116.SZ,中国海诚,6.84,2026-06-29
002117.SZ,东港股份,7.74,2026-06-29
002119.SZ,康强电子,36.29,2026-06-29
002120.SZ,韵达股份,6.28,2026-06-29
002121.SZ,科陆电子,5.32,2026-06-29
002123.SZ,梦网科技,7.16,2026-06-29
002124.SZ,天邦食品,2.16,2026-06-29
002125.SZ,湘潭电化,13.4,2026-06-29
002127.SZ,南极电商,2.64,2026-06-29
002128.SZ,电投能源,24.08,2026-06-29
002129.SZ,TCL中环,11.73,2026-06-29
002130.SZ,沃尔核材,17.54,2026-06-29
002131.SZ,利欧股份,4.65,2026-06-29
002132.SZ,恒星科技,5.28,2026-06-29
002133.SZ,广宇集团,2.45,2026-06-29
002134.SZ,天津普林,28.4,2026-06-29
002135.SZ,东南网架,6.73,2026-06-29
002136.SZ,安 纳 达,12.93,2026-06-29
002137.SZ,实益达,11.3,2026-06-29
002139.SZ,拓邦股份,9.13,2026-06-29
002140.SZ,东华科技,9.25,2026-06-29
002141.SZ,贤丰控股,5.18,2026-06-29
002142.SZ,宁波银行,30.76,2026-06-29
002144.SZ,宏达高科,9.98,2026-06-29
002145.SZ,钛能化学,4.56,2026-06-29
002148.SZ,北纬科技,5.77,2026-06-29
002150.SZ,正泰电源,25.35,2026-06-29
002151.SZ,北斗星通,30.63,2026-06-29
002152.SZ,广电运通,9.27,2026-06-29
002153.SZ,石基信息,7.1,2026-06-29
002154.SZ,报 喜 鸟,3.65,2026-06-29
002155.SZ,湖南黄金,24.35,2026-06-29
002157.SZ,正邦科技,2.87,2026-06-29
002158.SZ,汉钟精机,35.0,2026-06-29
002159.SZ,三特索道,12.68,2026-06-29
002160.SZ,常铝股份,3.7,2026-06-29
002161.SZ,远 望 谷,5.32,2026-06-29
002162.SZ,悦心健康,3.42,2026-06-29
002163.SZ,海南发展,8.33,2026-06-29
