symbol,industry_name,industry_code,updated_at,source
002476.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:17.548035,cninfo_industry_change
002449.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:17.574329,cninfo_industry_change
002478.SZ,金属制品业,C33,2026-03-18T23:31:17.638187,cninfo_industry_change
002446.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:17.643008,cninfo_industry_change
002479.SZ,电力、热力生产和供应业,D44,2026-03-18T23:31:17.726480,cninfo_industry_change
002480.SZ,建筑工程与运输机械,Z03010602,2026-03-18T23:31:17.742260,cninfo_industry_change
002481.SZ,食品制造业,C14,2026-03-18T23:31:17.772825,cninfo_industry_change
002482.SZ,建筑装饰、装修和其他建筑业,E50,2026-03-18T23:31:17.813595,cninfo_industry_change
002485.SZ,原材料供应链服务,S420802,2026-03-18T23:31:17.854756,cninfo_industry_change
002484.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:17.898379,cninfo_industry_change
002455.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:17.913672,cninfo_industry_change
002454.SZ,汽车制造业,C36,2026-03-18T23:31:17.922882,cninfo_industry_change
002486.SZ,运动服装,S350208,2026-03-18T23:31:17.967106,cninfo_industry_change
002489.SZ,家具制造业,C21,2026-03-18T23:31:18.021437,cninfo_industry_change
002493.SZ,化学原料和化学制品制造业,C26,2026-03-18T23:31:18.141345,cninfo_industry_change
002491.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:18.161853,cninfo_industry_change
002492.SZ,油气流通及其他,10102040,2026-03-18T23:31:18.183210,cninfo_industry_change
002461.SZ,酒、饮料和精制茶制造业,C15,2026-03-18T23:31:18.206989,cninfo_industry_change
002495.SZ,食品制造业,C14,2026-03-18T23:31:18.276247,cninfo_industry_change
002498.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:18.416315,cninfo_industry_change
002425.SZ,互联网和相关服务,I64,2026-03-18T23:31:18.417063,cninfo_industry_change
002465.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:18.443081,cninfo_industry_change
002500.SZ,资本市场服务,J67,2026-03-18T23:31:18.445081,cninfo_industry_change
002468.SZ,邮政业,G60,2026-03-18T23:31:18.446081,cninfo_industry_change
002497.SZ,有色金属冶炼和压延加工业,C32,2026-03-18T23:31:18.449081,cninfo_industry_change
002471.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:18.515890,cninfo_industry_change
002348.SZ,文教、工美、体育和娱乐用品制造业,C24,2026-03-18T23:31:18.539042,cninfo_industry_change
002506.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:18.638460,cninfo_industry_change
002507.SZ,食品制造业,C14,2026-03-18T23:31:18.671130,cninfo_industry_change
002512.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:18.686604,cninfo_industry_change
002511.SZ,造纸和纸制品业,C22,2026-03-18T23:31:18.704269,cninfo_industry_change
002510.SZ,汽车制造业,C36,2026-03-18T23:31:18.706269,cninfo_industry_change
002358.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:18.773107,cninfo_industry_change
002362.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:18.805323,cninfo_industry_change
002515.SZ,农副食品加工业,C13,2026-03-18T23:31:18.861740,cninfo_industry_change
002357.SZ,道路运输业,G54,2026-03-18T23:31:18.884127,cninfo_industry_change
002518.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:18.918898,cninfo_industry_change
002516.SZ,纺织业,C17,2026-03-18T23:31:18.929929,cninfo_industry_change
002517.SZ,互联网和相关服务,I64,2026-03-18T23:31:18.996233,cninfo_industry_change
002521.SZ,造纸和纸制品业,C22,2026-03-18T23:31:19.010577,cninfo_industry_change
002520.SZ,电动机与工控自动化,20401040,2026-03-18T23:31:19.029047,cninfo_industry_change
002365.SZ,医药制造业,C27,2026-03-18T23:31:19.100895,cninfo_industry_change
002522.SZ,橡胶和塑料制品业,C29,2026-03-18T23:31:19.109314,cninfo_industry_change
002487.SZ,金属制品业,C33,2026-03-18T23:31:19.130067,cninfo_industry_change
002524.SZ,卫生,Q84,2026-03-18T23:31:19.140315,cninfo_industry_change
002528.SZ,计算机、通信和其他电子设备制造业,C39,2026-03-18T23:31:19.230984,cninfo_industry_change
002527.SZ,楼宇设备,S640204,2026-03-18T23:31:19.240749,cninfo_industry_change
002494.SZ,皮革、毛皮、羽毛及其制品和制鞋业,C19,2026-03-18T23:31:19.315394,cninfo_industry_change
002533.SZ,电气机械和器材制造业,C38,2026-03-18T23:31:19.330660,cninfo_industry_change
002530.SZ,其他专用设备,S640209,2026-03-18T23:31:19.351200,cninfo_industry_change
002532.SZ,有色金属冶炼和压延加工业,C32,2026-03-18T23:31:19.370861,cninfo_industry_change
002534.SZ,通用设备制造业,C34,2026-03-18T23:31:19.470336,cninfo_industry_change
002535.SZ,专用设备制造业,C35,2026-03-18T23:31:19.477611,cninfo_industry_change
