symbol,avg_turnover,avg_intraday_range,avg_abs_ret1,n_days,latest_close,is_st_symbol,passes,liq_rank,stability_rank,range_rank,price_rank,pool_score
601608.SH,671090300.7333333,0.04091095366344144,0.022209928902752862,60,6.94,False,True,0.7211221122112211,0.5066006600660066,0.49174917491749176,0.14521452145214522,0.5286303630363036
002177.SZ,643193960.9666667,0.040423072919085534,0.021166241268731498,60,6.91,False,True,0.7524752475247525,0.44224422442244227,0.4801980198019802,0.14356435643564355,0.5278052805280529
002145.SZ,706976256.7333333,0.04654113935828449,0.023004947047027588,60,5.26,False,True,0.66996699669967,0.5544554455445545,0.66996699669967,0.07178217821782178,0.5272277227722773
002460.SZ,5796431943.366667,0.059906041182847744,0.03218417685929797,60,71.27,False,True,0.018151815181518153,0.9306930693069307,0.9686468646864687,0.933993399339934,0.5264026402640265
600435.SH,607407797.8333334,0.029623257993534883,0.01636134507772629,60,13.6,False,True,0.8102310231023102,0.24422442244224424,0.2145214521452145,0.40264026402640263,0.5261551155115511
601689.SH,4250206371.8333335,0.05925173394056586,0.03183060094370091,60,59.82,False,True,0.0429042904290429,0.9158415841584159,0.9636963696369637,0.8943894389438944,0.5259075907590759
000988.SZ,6046900020.566667,0.05579397950622984,0.0343172205023396,60,71.33,False,True,0.013201320132013201,0.9818481848184818,0.9075907590759076,0.9356435643564357,0.5255775577557756
605111.SH,979581271.3833333,0.03991474021257986,0.021515247322579756,60,35.65,False,True,0.45874587458745875,0.4603960396039604,0.45874587458745875,0.7863036303630363,0.5245874587458746
600208.SH,563487377.2666667,0.03676003475375747,0.019139165558446265,60,4.03,False,True,0.8811881188118812,0.3333333333333333,0.3613861386138614,0.0297029702970297,0.5233498349834984
002139.SZ,591696278.2666667,0.02740886877511226,0.015310368456771929,60,13.05,False,True,0.8415841584158416,0.21287128712871287,0.17656765676567657,0.3688118811881188,0.5215346534653466
601717.SH,731235544.0333333,0.03357189973572046,0.019582599531626024,60,22.58,False,True,0.6402640264026402,0.3465346534653465,0.28052805280528054,0.6097359735973598,0.5214521452145214
002558.SZ,1725461700.4333334,0.056185494314816016,0.025796192206375086,60,35.65,False,True,0.19636963696369636,0.6881188118811881,0.9158415841584159,0.7863036303630363,0.5206270627062706
000837.SZ,720714118.7166667,0.03812920882802982,0.02168468130823824,60,12.25,False,True,0.6551155115511551,0.4735973597359736,0.41089108910891087,0.3457095709570957,0.5202970297029703
002657.SZ,1118598010.8,0.045851834356004074,0.022662721243770254,60,27.43,False,True,0.3927392739273927,0.5363036303630363,0.6501650165016502,0.6914191419141914,0.5198019801980198
002654.SZ,1620820247.9,0.060961413166594355,0.03292321932611504,60,14.42,False,True,0.21617161716171618,0.9488448844884488,0.9818481848184818,0.42574257425742573,0.5194719471947195
603288.SH,629950834.0833334,0.01596906321045828,0.007056946256350905,60,37.45,False,True,0.7755775577557755,0.018151815181518153,0.0297029702970297,0.806930693069307,0.5184818481848186
000657.SZ,2016869810.5,0.05655433170930194,0.032954884883318936,60,22.46,False,True,0.15016501650165018,0.9504950495049505,0.929042904290429,0.6047854785478548,0.5179867986798681
000975.SZ,805478820.35,0.035033077775999885,0.02235349356098236,60,20.85,False,True,0.5627062706270627,0.5198019801980198,0.31518151815181517,0.566006600660066,0.5176567656765676
